Citation,PR.ID,Year,ES.ID,CHT.ID,Ecosystem_type,Longitude,Latitude,Study_design,Study,Continent,Region,Country,Climate,Source,Variable,Impact_type,Level_ecological_organization,Invader_1,Invader_2,Interacting_taxon,Trohic_level,nI1,mI1,sdI1,nI2,mI2,sdI2,nI1_I2,mI1_I2,sdI1_I2,nC,mC,sdC,num_shared_control,N_control_sc
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,1,CHT01,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,pH,pH ,Ecosystem,Hydrilla verticilatta,Limnoperna fortunei,Plant-Animal,Producer-Consumer,5,7.1,0.1,5,7,0.1,5,7,0.1,5,7.2,0.1,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,2,CHT02,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,pH,pH ,Ecosystem,Hydrilla verticilatta,Astronotus crassipinnis,Plant-Animal,Producer-Consumer,5,7.1,0.1,5,7.1,0.1,5,7.1,0.1,5,7.2,0.1,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,3,CHT03,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,pH,pH ,Ecosystem,Astronotus crassipinnis,Limnoperna fortunei,Animal-Animal,Consumer-Consumer,5,7.1,0.1,5,7,0.1,5,7,0,5,7.2,0.1,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,4,CHT01,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,Temperature (°C) ,Water temperature,Ecosystem,Hydrilla verticilatta,Limnoperna fortunei,Plant-Animal,Producer-Consumer,5,27,0.7,5,26.9,0.5,5,27.1,0.6,5,27.3,0.2,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,5,CHT02,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,Temperature (°C) ,Water temperature,Ecosystem,Hydrilla verticilatta,Astronotus crassipinnis,Plant-Animal,Producer-Consumer,5,27,0.7,5,27.1,0.6,5,27,0.4,5,27.3,0.2,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,6,CHT03,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,Temperature (°C) ,Water temperature,Ecosystem,Astronotus crassipinnis,Limnoperna fortunei,Animal-Animal,Consumer-Consumer,5,27.1,0.6,5,26.9,0.5,5,26.8,0.7,5,27.3,0.2,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,7,CHT01,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,Electrical Conductivity,Salinity,Ecosystem,Hydrilla verticilatta,Limnoperna fortunei,Plant-Animal,Producer-Consumer,5,53.2,8.3,5,54.9,9.4,5,54.6,9.3,5,54.1,5.3,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,8,CHT02,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,Electrical Conductivity,Salinity,Ecosystem,Hydrilla verticilatta,Astronotus crassipinnis,Plant-Animal,Producer-Consumer,5,53.2,8.3,5,53.1,8.7,5,53,7.5,5,54.1,5.3,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,9,CHT03,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Table 2,Electrical Conductivity,Salinity,Ecosystem,Astronotus crassipinnis,Limnoperna fortunei,Animal-Animal,Consumer-Consumer,5,53.1,8.7,5,54.9,9.4,5,56.6,7.1,5,54.1,5.3,3,1.666666667
"Braga et al. 2020. Hydrobiologia, 847: 1603–1618",PUB01,2020,10,CHT01,Unknown,-64.9382262,-26.8797391,Experimental,Aquatic,Southern America,Upper Parana´ River floodplain,Brazil,NA,Supplementary Figure 6,Dissolved oxygen,Dissolved oxygen,Ecosystem,Hydrilla verticilatta,Limnoperna fortunei,Plant-Animal,Producer-Consumer,5,7.31,0.47,5,6.53,0.49,5,6.67,0.19,5,7.59,0.36,3,1.666666667
